#List of 666 genes for which we were able to compute clonal frequency
#
#All driver genes stated as major or those with an FDR < 0.1 
#
##geneHGNCsymbol
##Mean VAF = average variant allele frequency of somatic mutations detected in the driver gene across samples of each tumor type.
##Zvalue = Zscore of the gene's average variant allele frequency in the context of all somatic mutations detected in the tumor type.
##Nmutations = Number of mutations observed in the driver across the cohort
##Pvalue = P-value resulting from the statistical test of major drivers
##FDR = Corrected P-value
##TumorType = tumor type
##MeanCCF = Mean CCF of all mutations detected in drivers of the tumor type
###
geneHGNCsymbol	MeanVAF	Nmutations	Zvalue	Pvalue	FDR	TumorType	MeanCCF
MAP3K1	0.3438751695	4	0.29644	0.3834470409	0.7801163935	STAD	0.687750339
NRAS	0.36341095	4	0.28592	0.3874696976	0.6013985940	OV	0.7268219
POLR2B	0.2975265235	5	0.28406	0.3881822001	0.6829276294	LUAD	0.595053047
PHF6	0.2980867347	4	0.27875	0.3902183441	0.6829276294	LUAD	0.5961734694
CHD4	0.3576790303	5	0.27441	0.3918847795	0.4310732574	COREAD	0.7153580606
FN1	0.3570420327	5	0.26376	0.3959824294	0.7402455759	BRCA	0.7140840653
G3BP1	0.2920251864	7	0.26346	0.3960980251	0.6829276294	LUAD	0.5840503727
KDR	0.3242654168	12	0.24979	0.4013748768	0.6792497914	GBM	0.6485308336
MLLT4	0.3514971765	5	0.2436	0.4037703141	0.7402455759	BRCA	0.7029943531
ARHGEF6	0.3889728354	10	0.23365	0.4076283538	0.6114425306	UCEC	0.7779456708
HSP90AB1	0.3152173913	4	0.22788	0.4098697657	0.8392571393	LUSC	0.6304347826
PLCG1	0.390613053	8	0.18854	0.4252266811	0.6236657990	UCEC	0.7812261059
ARID2	0.3185779475	8	0.17836	0.4292201305	0.7885893084	HNSC	0.6371558949
ZFHX3	0.2426144843	5	0.1769	0.4297934693	0.9133111223	PRAD	0.4852289686
CCAR1	0.3488274959	7	0.16942	0.4327331466	0.7719023696	BRCA	0.6976549918
TAOK2	0.3127944307	14	0.15878	0.4369211033	0.7885893084	HNSC	0.6255888613
RUNX1	0.4237931981	11	0.15121	0.4399050311	1.0000000000	LAML	0.8475863962
EIF2AK3	0.3550173018	4	0.14969	0.4405045991	0.6013985940	OV	0.7100346035
EPHB2	0.2894942055	5	0.12488	0.450309276	0.7313898783	LUAD	0.578988411
TP53	0.4229435616	14	0.12481	0.4503369852	1.0000000000	LAML	0.8458871233
SETD2	0.3479396085	4	0.12426	0.4505547086	0.7825423886	BRCA	0.695879217
ACTG1	0.2877754131	4	0.11692	0.4534617246	0.7313898783	LUAD	0.5755508262
HNRPDL	0.3120666667	6	0.11042	0.4560381462	0.7971760596	BLCA	0.6241333333
SMURF2	0.3495113512	4	0.10589	0.4578348142	1.0000000000	CM	0.6990227023
PGR	0.3897809919	5	0.10259	0.4591441899	0.6587720986	UCEC	0.7795619839
MYH10	0.3142985987	5	0.09477	0.4622487581	0.7971760596	BLCA	0.6285971975
PIK3CA	0.3298835661	14	0.09341	0.4627889232	0.8917993973	STAD	0.6597671321
MYB	0.2978854523	5	0.08658	0.4655026819	0.8792236182	LUSC	0.5957709046
USP6	0.3465229302	17	0.08287	0.4669774542	1.0000000000	CM	0.6930458604
ARHGAP35	0.3417768875	4	0.07638	0.4695583904	0.7946372761	BRCA	0.683553775
ARID1B	0.3155154515	4	0.07566	0.4698448001	0.7971760596	BLCA	0.6310309031
TBX3	0.3011766331	4	0.07456	0.4702824004	0.8792236182	LUSC	0.6023532662
TCF4	0.3462949668	11	0.07098	0.4717068365	1.0000000000	CM	0.6925899336
ACVR1B	0.328782806	10	0.0699	0.4721366266	0.8917993973	STAD	0.657565612
ERBB3	0.3473524577	6	0.06645	0.4735097819	1.0000000000	CM	0.6947049154
KEAP1	0.31155	4	0.05438	0.4783162065	0.7971760596	BLCA	0.6231
NUP107	0.3483114452	5	0.04814	0.4808023339	1.0000000000	CM	0.6966228904
NSD1	0.3306612344	4	0.0409	0.4836878087	0.8917993973	STAD	0.6613224688
PPM1D	0.2374972581	5	0.03633	0.4855096146	0.6473461528	THCA	0.4749945162
CLSPN	0.310388738	4	0.02364	0.4905698828	0.7971760596	BLCA	0.620777476
RAC1	0.344016063	5	0.01986	0.4920775271	1.0000000000	CM	0.6880321261
HCFC1	0.3417307956	8	0.01964	0.4921652773	0.7984368931	BRCA	0.6834615912
COL1A1	0.3075438084	5	0.01494	0.494040024	0.8704514709	HNSC	0.6150876167
AHNAK	0.3418829631	8	0.01003	0.495998676	0.7984368931	BRCA	0.6837659261
ITSN1	0.343603009	4	0.00585	0.497666201	0.6013985940	OV	0.6872060181
ARHGAP29	0.3445343331	5	0.00407	0.4983763094	1.0000000000	CM	0.6890686661
BRCA1	0.3252626443	4	0.00166	0.4993377561	0.8927553822	STAD	0.6505252887
CCAR1	0.3435786038	4	-0.02225	0.5088757334	0.6013985940	OV	0.6871572077
BAP1	0.3974573884	16	-0.02545	0.5101519851	0.9417381325	HC	0.7949147767
TJP1	0.319698381	4	-0.04182	0.5166789044	0.8965898635	STAD	0.639396762
DLG1	0.3431631162	6	-0.04356	0.5173724316	1.0000000000	CM	0.6863262325
RPL5	0.3425263618	10	-0.04415	0.5176075813	1.0000000000	CM	0.6850527236
NCF2	0.2879444114	4	-0.04823	0.5192335293	0.9302934066	LUSC	0.5758888227
DNMT3A	0.3045997159	4	-0.05281	0.5210583531	0.8967050728	HNSC	0.6091994319
CHD6	0.341365262	13	-0.08488	0.533821604	1.0000000000	CM	0.682730524
BAZ2B	0.3414124315	14	-0.09678	0.5385494465	1.0000000000	CM	0.6828248629
TRIP10	0.302958219	7	-108	0.5430021539	0.9132308952	HNSC	0.605916438
SF3B1	0.339748595	9	-0.10857	0.5432282217	1.0000000000	CM	0.6794971901
FOXA1	0.334880135	4	-0.11604	0.5461895798	0.8247557741	BRCA	0.66976027
CAPN7	0.317073684	4	-0.11628	0.5462846821	0.9208798927	STAD	0.6341473681
STAG2	0.333986846	6	-0.12317	0.5490137594	0.8247557741	BRCA	0.6679736921
MLL3	0.3368723913	22	-0.12525	0.5498371827	0.8247557741	BRCA	0.6737447826
PTPN11	0.2984110072	4	-0.13697	0.5544727459	0.8713143151	GBM	0.5968220144
SF3B1	0.2760390953	10	-0.14035	0.5558082695	0.8684504211	LUAD	0.5520781905
ANK3	0.3799048332	16	-0.14832	0.5589548839	0.7849153689	UCEC	0.7598096665
SOS1	0.3311777836	4	-0.17803	0.5706502923	1.0000000000	CM	0.6623555672
FAS	0.3134219746	4	-0.18499	0.5733815605	0.9397086686	STAD	0.6268439492
CLTC	0.3396416976	9	-0.18845	0.5747380463	1.0000000000	CM	0.6792833951
SOS2	0.334720741	5	-0.19087	0.5756862777	1.0000000000	CM	0.6694414821
ITSN1	0.2797041008	4	-0.19848	0.5786652344	0.9953042032	LUSC	0.5594082015
CAST	0.3298100242	4	-0.21542	0.5852800609	0.8584107559	BRCA	0.6596200484
PTEN	0.3873421594	5	-0.22391	0.5885863328	0.9417381325	HC	0.7746843189
NEDD4L	0.3720684935	4	-0.22398	0.5886135672	0.8093436549	UCEC	0.7441369869
IDH2	0.4130695514	18	-0.2347	0.5927792061	1.0000000000	LAML	0.8261391028
ASPM	0.3381607238	12	-0.23797	0.5940478188	1.0000000000	CM	0.6763214476
C15orf55	0.3371035284	16	-0.25534	0.600769746	1.0000000000	CM	0.6742070568
SMARCA4	0.2944225663	9	-0.26269	0.6036052375	0.9720027326	HNSC	0.5888451326
BAP1	0.2912325979	4	-0.26428	0.6042179149	0.9720027326	HNSC	0.5824651958
ACACA	0.3721229421	8	-0.26448	0.604294963	0.8138448664	UCEC	0.7442458841
ARID1A	0.2378416581	8	-0.26554	0.60470325	0.9448488282	LGG	0.4756833162
MLL	0.2609320521	4	-0.26924	0.6061274996	0.9095904353	LUAD	0.5218641042
CTNNB1	0.3102506551	6	-0.27692	0.6090792324	0.9712344517	STAD	0.6205013102
AHCTF1	0.3297254147	5	-0.28698	0.6129361829	1.0000000000	CM	0.6594508294
ARHGEF2	0.3312577612	5	-0.2875	0.613135249	1.0000000000	CM	0.6625155225
EGFR	0.3695334809	4	-0.29643	0.6165491412	0.8138448664	UCEC	0.7390669617
NTN4	0.2616519661	6	-0.3016	0.618521496	0.9095904353	LUAD	0.5233039322
BRWD1	0.3304589291	6	-0.31638	0.6241429522	1.0000000000	CM	0.6609178583
MEF2C	0.2911418874	6	-0.3221	0.6263115309	0.9761233665	HNSC	0.5822837748
MAGI2	0.3333190229	8	-0.32466	0.6272807943	1.0000000000	CM	0.6666380457
PTEN	0.3113354643	6	-0.32831	0.628661358	0.9712873359	STAD	0.6226709285
MKL1	0.3331180582	9	-0.33707	0.631967934	1.0000000000	CM	0.6662361165
RPL5	0.2732134218	5	-0.35044	0.6369957442	0.9958284491	LUSC	0.5464268436
DICER1	0.3337148602	9	-0.35711	0.6394952707	1.0000000000	CM	0.6674297203
TAF1	0.3243969903	6	-0.35813	0.6398769854	0.9180843703	BRCA	0.6487939805
CUL3	0.2911450144	7	-0.35835	0.6399592977	0.9761233665	HNSC	0.5822900289
IRF2	0.3040764038	4	-0.36391	0.6420373915	0.9712873359	STAD	0.6081528077
KRAS	0.3364715178	27	-0.36768	0.6434440724	0.6434440724	COREAD	0.6729430355
KALRN	0.2889192544	9	-0.37549	0.6463519589	0.9761233665	HNSC	0.5778385088
INPPL1	0.3650093852	5	-0.3954	0.6537261455	0.8354284034	UCEC	0.7300187705
ARHGAP26	0.3231090174	4	-0.39742	0.6544711153	1.0000000000	CM	0.6462180348
MYB	0.3250729246	8	-0.40744	0.6581575733	0.9242212731	BRCA	0.6501458491
MAP3K1	0.3730953521	15	-0.4076	0.6582163178	0.8354284034	UCEC	0.7461907042
MECOM	0.3369571611	36	-0.42043	0.6629143219	1.0000000000	CM	0.6739143222
SIN3A	0.2594343017	7	-0.42345	0.6640165143	0.9485950205	LUAD	0.5188686035
KIT	0.3997745639	4	-0.44187	0.6707083597	1.0000000000	LAML	0.7995491278
PLCB1	0.33268756	19	-0.44723	0.6726454986	1.0000000000	CM	0.6653751199
FAF1	0.3133269831	4	-0.45509	0.675477754	1.0000000000	CM	0.6266539663
ERBB2	0.3260452144	11	-0.45644	0.6759631963	0.9286826993	BRCA	0.6520904288
LRPPRC	0.3224327687	5	-0.48034	0.6845071747	1.0000000000	CM	0.6448655374
ALK	0.3660820069	9	-0.48453	0.6859951106	0.8418399811	UCEC	0.7321640137
EP300	0.3716246961	22	-0.49239	0.6887781664	0.8418399811	UCEC	0.7432493921
B2M	0.31786869	4	-0.50488	0.6931784389	1.0000000000	CM	0.6357373801
CUL2	0.247283451	6	-0.50977	0.6948936972	0.9651301351	LUAD	0.4945669021
GATA3	0.3171851852	5	-0.51063	0.6951949175	1.0000000000	CM	0.6343703704
KAT6B	0.2174052723	6	-0.51472	0.6966256522	0.9998686602	LGG	0.4348105445
KRAS	0.3095620006	4	-0.52061	0.6986807592	0.9286826993	BRCA	0.6191240011
SHMT1	0.3575324467	4	-0.53072	0.7021935877	0.8426323053	UCEC	0.7150648934
TGFBR2	0.3211543482	6	-0.5345	0.7035021753	1.0000000000	CM	0.6423086963
TJP2	0.3172197039	6	-0.54348	0.7066003212	1.0000000000	CM	0.6344394078
GATA3	0.264365762	5	-0.54813	0.7081986787	0.9958284491	LUSC	0.528731524
SETD2	0.3748988602	13	-0.55129	0.7092825538	0.9457100717	HC	0.7497977203
ERBB2IP	0.263803684	7	-0.5546	0.7104158555	0.9958284491	LUSC	0.5276073681
MAP3K4	0.2712102465	5	-0.57025	0.715745926	1.0000000000	BLCA	0.5424204929
HLA-A	0.291322314	4	-0.57686	0.7179829831	0.9971904661	STAD	0.5826446281
NFE2L2	0.3700890669	18	-0.57703	0.7180404051	0.8462619060	UCEC	0.7401781338
MAP3K4	0.3163937153	7	-0.60375	0.7269950668	1.0000000000	CM	0.6327874307
FBXW7	0.2770899309	7	-0.60676	0.7279949014	1.0000000000	BLCA	0.5541798617
FBXW7	0.3121296714	4	-0.61045	0.7292181224	1.0000000000	CM	0.6242593428
CAD	0.3136093614	6	-0.61884	0.7319891159	0.9286826993	BRCA	0.6272187229
PCDH18	0.3352853	52	-0.63117	0.7360353124	1.0000000000	CM	0.6705706001
SETD2	0.1987223792	4	-0.63793	0.738240376	0.9998686602	LGG	0.3974447585
AFF4	0.2502647734	4	-0.64518	0.7405947273	0.9958284491	LUSC	0.5005295468
SVEP1	0.3199685847	13	-0.65799	0.7447277215	0.9286826993	BRCA	0.6399371693
THRAP3	0.265561731	4	-0.65833	0.7448369476	1.0000000000	HNSC	0.5311234621
MACF1	0.3167818615	10	-662	0.7460143892	0.9286826993	BRCA	0.6335637231
ANK3	0.3185913214	11	-0.66487	0.7469331773	0.9286826993	BRCA	0.6371826429
PIK3R3	0.2655539397	4	-0.67118	0.748947066	1.0000000000	HNSC	0.5311078794
ARID1B	0.269258185	5	-0.6769	0.7507652979	1.0000000000	HNSC	0.5385163699
HSP90AB1	0.2932708318	6	-0.68032	0.7518490683	0.9971904661	STAD	0.5865416635
PRPF8	0.265338383	5	-0.68371	0.7529208462	1.0000000000	HNSC	0.530676766
CHD9	0.3215522702	12	-0.69572	0.756697901	1.0000000000	CM	0.6431045403
CTNNB1	0.1760451543	5	-0.69967	0.7579332921	0.9999946564	PRAD	0.3520903085
ELF3	0.2911190693	6	-0.70387	0.7592431322	0.9971904661	STAD	0.5822381387
APC	0.3143213082	8	-0.70576	0.7598312994	0.9286826993	BRCA	0.6286426164
CSNK2A1	0.2678911854	5	-0.70625	0.7599836593	1.0000000000	HNSC	0.5357823707
ZNF292	0.2137334351	8	-0.71155	0.7616282608	0.9998686602	LGG	0.4274668702
NUP98	0.2521536844	5	-0.73176	0.7678424663	0.9958284491	LUSC	0.5043073689
WNK1	0.3032769423	4	-0.73181	0.7678577277	1.0000000000	CM	0.6065538846
NR4A2	0.242223875	4	-0.7583	0.7758642964	0.9958284491	LUSC	0.48444775
FAS	0.3055856177	5	-0.76352	0.7774233303	1.0000000000	CM	0.6111712354
CSDE1	0.2571083504	4	-0.7683	0.7788455127	1.0000000000	BLCA	0.5142167007
CASP8	0.3133136532	9	-0.77955	0.7821721019	0.9294662485	BRCA	0.6266273064
FAT1	0.2537497812	18	-0.7866	0.7842419704	0.9726628567	LUAD	0.5074995623
BLM	0.2247215243	4	-0.7948	0.7866350745	0.9726628567	LUAD	0.4494430486
LDHA	0.2218314372	4	-0.80863	0.7906359983	0.9726628567	LUAD	0.4436628744
DHX35	0.3460665918	5	-0.81158	0.7914836644	0.9164547693	UCEC	0.6921331835
PIK3R3	0.2955493511	4	-0.82519	0.7953681351	0.9294662485	BRCA	0.5910987022
WIPF1	0.2808829422	6	-0.82655	0.7957539164	0.9971904661	STAD	0.5617658845
COPS2	0.2257997757	4	-0.83577	0.7983578467	0.9726628567	LUAD	0.4515995513
NF1	0.2213036655	22	-0.84482	0.8008943269	0.9998686602	LGG	0.4426073309
TCF7L2	0.2945497078	4	-0.85138	0.802720851	0.9294662485	BRCA	0.5890994157
FN1	0.2650667802	14	-0.85436	0.8035472241	0.9958284491	LUSC	0.5301335605
AQR	0.3139484471	8	-0.85498	0.80371889	1.0000000000	CM	0.6278968942
ASXL1	0.3833346258	4	-0.86402	0.8062115481	1.0000000000	LAML	0.7666692516
NCK1	0.2817087015	6	-0.88453	0.8117949124	0.9971904661	STAD	0.5634174031
SCAI	0.1618809579	5	-0.90313	0.8167715482	0.9999946564	PRAD	0.3237619158
EP300	0.2882238381	39	-0.90523	0.8173282241	1.0000000000	HNSC	0.5764476762
NCOR2	0.2479197242	4	-0.92357	0.8221448803	1.0000000000	BLCA	0.4958394484
ATR	0.2945384692	5	-0.92943	0.8236668567	0.9303861505	BRCA	0.5890769384
EIF2C3	0.2435260775	4	-0.93297	0.824582271	1.0000000000	HNSC	0.4870521551
MACF1	0.282915032	26	-0.93544	0.8252192045	1.0000000000	HNSC	0.565830064
HNRPDL	0.1532834762	4	-0.94711	0.8282086352	0.8767454105	THCA	0.3065669523
LPHN2	0.235367743	9	-0.96	0.8314723925	0.9726628567	LUAD	0.470735486
AKAP9	0.2918430763	4	-0.96094	0.8317088315	0.9303861505	BRCA	0.5836861525
ARID1B	0.2635002946	4	-0.96877	0.8336700211	0.9971904661	STAD	0.5270005892
CYLD	0.2960313414	5	-0.9758	0.8354182076	1.0000000000	CM	0.5920626828
SEC24D	0.3030273632	7	-0.97642	0.8355718128	1.0000000000	CM	0.6060547264
TFDP1	0.3471897161	7	-0.9831	0.8372208878	0.9526996310	UCEC	0.6943794323
HSP90AB1	0.2103907907	4	-0.98446	0.8375553052	0.9726628567	LUAD	0.4207815813
ATR	0.2457868271	5	-0.99441	0.8399883492	1.0000000000	HNSC	0.4915736543
EIF2AK3	0.2773294482	7	-1.03091	0.8487084866	0.9971904661	STAD	0.5546588963
FN1	0.237935963	4	-1.04825	0.8527382802	1.0000000000	BLCA	0.4758719259
MLL2	0.2824872802	4	-1.05059	0.8532765321	0.9386041853	BRCA	0.5649745603
GNG2	0.3039202899	9	-1.0524	0.8536919657	1.0000000000	CM	0.6078405797
CYLD	0.2624637794	4	-1.06169	0.8558117797	0.9971904661	STAD	0.5249275589
WASF3	0.3079178342	11	-1.07853	0.8596013494	1.0000000000	CM	0.6158356685
SRGAP3	0.2275272494	5	-1.07865	0.8596281085	0.9958284491	LUSC	0.4550544988
APAF1	0.2523675061	7	-1.11022	0.8665478818	1.0000000000	HNSC	0.5047350122
ACVR2A	0.2600576885	4	-1.11355	0.8672638566	0.9971904661	STAD	0.5201153769
NCOR1	0.1666666667	5	-1.12159	0.8689815973	0.9998686602	LGG	0.3333333333
TCF12	0.2937503167	6	-1.13196	0.8711743742	1.0000000000	CM	0.5875006333
CAT	0.2897810075	5	-1.1342	0.871644668	1.0000000000	CM	0.579562015
BRCA1	0.2880557845	5	-1.13869	0.8725837624	1.0000000000	CM	0.5761115691
NUP98	0.2394259644	5	-1.15562	0.8760816882	1.0000000000	BLCA	0.4788519288
MLL3	0.1721227983	12	-1.15887	0.8767454105	0.8767454105	THCA	0.3442455967
PCDH18	0.2418333196	5	-1.1638	0.8777474639	1.0000000000	BLCA	0.4836666392
BAZ2B	0.2055244976	5	-1.18478	0.8819477789	0.9726628567	LUAD	0.4110489953
SOX9	0.2327244618	4	-1.20977	0.8868164196	1.0000000000	HNSC	0.4654489237
ARID1A	0.2175217181	8	-1.21031	0.886920019	0.9726628567	LUAD	0.4350434361
NUP98	0.2613968055	6	-1.21361	0.8875516567	0.9971904661	STAD	0.5227936111
RBM5	0.2535343436	4	-1.22242	0.8892255801	0.9971904661	STAD	0.5070686871
MMP2	0.2224590404	9	-1.22247	0.889235029	0.9726628567	LUAD	0.4449180807
SPTAN1	0.2335099077	4	-1.23624	0.8918153168	1.0000000000	HNSC	0.4670198154
EEF1B2	0.2152255639	8	-1.25274	0.8948498281	0.9726628567	LUAD	0.4304511278
IDH1	0.2948362066	8	-1.25471	0.8952079729	1.0000000000	CM	0.5896724131
NCF2	0.2268654945	4	-1.26421	0.8969226687	1.0000000000	HNSC	0.4537309889
CRTC3	0.2989716649	10	-1.28022	0.899766113	1.0000000000	CM	0.5979433298
AQR	0.2409696075	4	-1.30852	0.9046515023	0.9971904661	STAD	0.481939215
AQR	0.2092038249	4	-1.31618	0.9059431826	0.9958284491	LUSC	0.4184076499
SMAD2	0.2452690749	4	-1.32928	0.908122195	0.9971904661	STAD	0.4905381498
HSPA8	0.3074032652	16	-1.34133	0.9100933332	1.0000000000	CM	0.6148065303
WIPF1	0.2811377772	6	-1.34388	0.9105064028	1.0000000000	CM	0.5622755544
CLASP2	0.2747235285	5	-1.35139	0.9117147323	1.0000000000	CM	0.549447057
RUNX1	0.2773810788	6	-1.35575	0.9124106376	0.9731588342	BRCA	0.5547621575
CNOT3	0.2092344733	5	-1.36247	0.9134751972	0.9958284491	LUSC	0.4184689466
FUBP1	0.2634072581	4	-1.36695	0.9141795109	0.9731588342	BRCA	0.5268145161
ARID1B	0.1381703715	6	-1.37185	0.9149449308	0.9999946564	PRAD	0.276340743
RASA2	0.2883083444	8	-1.37532	0.9154838707	1.0000000000	CM	0.5766166887
LIMA1	0.2471984026	8	-1.38384	0.916796274	1.0000000000	BLCA	0.4943968052
EIF4G1	0.137622658	5	-1.38459	0.9169110645	0.9999946564	PRAD	0.2752453159
BAZ2B	0.2453428698	9	-1.42338	0.9226869865	1.0000000000	HNSC	0.4906857395
FAM123B	0.3338750928	7	-1.4245	0.9228491075	0.9990740513	UCEC	0.6677501856
MYH11	0.2268038493	5	-1.44383	0.9256065995	1.0000000000	BLCA	0.4536076986
HSP90AB1	0.1370300641	7	-1.44759	0.9261341252	0.9999946564	PRAD	0.2740601282
KRAS	0.3774360087	11	-1.48347	0.9310252093	1.0000000000	LAML	0.7548720174
CHD4	0.2869793751	9	-1.48371	0.9310570639	0.9753931146	BRCA	0.5739587502
MTOR	0.3489241708	15	-1.48538	0.9312784047	0.9797997247	HC	0.6978483416
ARHGAP35	0.2896095253	9	-1.49418	0.9324357107	1.0000000000	CM	0.5792190507
DDX5	0.2321166841	4	-1.49669	0.9327630303	0.9971904661	STAD	0.4642333681
MEN1	0.2161122057	6	-1.50418	0.933732487	0.9998061957	GBM	0.4322244114
SIN3A	0.1868916556	4	-1.51812	0.9355079249	0.9958284491	LUSC	0.3737833113
CHD3	0.2901498338	10	-1.52419	0.9362693723	1.0000000000	CM	0.5802996676
HSP90AB1	0.2328833465	7	-1.53623	0.9377590097	1.0000000000	BLCA	0.465766693
ERBB2IP	0.2252716569	4	-1.5559	0.9401340633	0.9971904661	STAD	0.4505433138
MAP2K4	0.254286681	4	-1.56661	0.9413970605	1.0000000000	CM	0.5085733621
ANK3	0.2664088366	11	-1.62021	0.947406413	0.9971904661	STAD	0.5328176731
ERCC2	0.1983434734	4	-1.62435	0.9478494341	1.0000000000	BLCA	0.3966869467
BAZ2B	0.331375262	10	-1.63629	0.949110546	0.9990740513	UCEC	0.6627505239
CHD8	0.2489738704	18	-1.64317	0.9498261175	0.9998061957	GBM	0.4979477407
SOX9	0.2522021543	4	-1.65018	0.9505469369	1.0000000000	CM	0.5044043087
HDAC3	0.2590805184	6	-1.65764	0.9513049245	0.9853081454	OV	0.5181610369
TAOK1	0.2693539693	6	-1.66071	0.951614148	1.0000000000	CM	0.5387079386
WT1	0.3532996729	5	-1.66441	0.9519847385	1.0000000000	LAML	0.7065993457
NFE2L2	0.2481060606	4	-1.66659	0.9522020207	1.0000000000	CM	0.4962121212
PCDH18	0.2075308672	5	-1.67284	0.952820601	1.0000000000	HNSC	0.4150617344
CHD3	0.3475984429	20	-1.67458	0.952991667	0.9990740513	UCEC	0.6951968858
CNTNAP1	0.1347916059	9	-1.67745	0.9532727405	0.9999946564	PRAD	0.2695832118
FN1	0.1640357577	4	-1.68232	0.9537465975	0.9999835770	LUAD	0.3280715154
ACVR1B	0.1687025119	4	-1.70833	0.9562124361	0.9958284491	LUSC	0.3374050239
STAG1	0.2724127701	7	-1.71921	0.9572119297	1.0000000000	CM	0.5448255402
NCOR1	0.2471515318	14	-1.74697	0.9596787289	1.0000000000	HNSC	0.4943030636
HLA-A	0.1924131229	4	-1.74836	0.9597991452	1.0000000000	BLCA	0.3848262458
NCOR1	0.2845588083	10	-1.75675	0.9605197845	1.0000000000	CM	0.5691176165
PRPF8	0.1825321309	5	-1.77122	0.9617379377	0.9958284491	LUSC	0.3650642618
CCT5	0.1856577716	7	-1.7953	0.9636970425	0.9999835770	LUAD	0.3713155432
FN1	0.2755954612	9	-1.8233	0.9658710168	1.0000000000	CM	0.5511909224
PBRM1	0.1869130628	6	-1.83649	0.9668573901	0.9998061957	GBM	0.3738261257
HRAS	0.2050530048	9	-1.84213	0.9672719317	0.9958284491	LUSC	0.4101060096
HLA-B	0.2254814829	5	-1.85226	0.9680057517	0.9971904661	STAD	0.4509629657
PTPN11	0.3628813809	8	-1.87627	0.9696908929	1.0000000000	LAML	0.7257627617
BRCA1	0.2286317668	9	-1.8879	0.9704803117	1.0000000000	HNSC	0.4572635336
MLL2	0.2340410844	19	-1.91829	0.9724628751	0.9958284491	LUSC	0.4680821688
CAPN7	0.2921086678	4	-1.92374	0.9728064092	0.9990740513	UCEC	0.5842173355
DDX5	0.2370416557	12	-1.96054	0.9750336463	1.0000000000	BLCA	0.4740833114
COPS2	0.2668696116	7	-1.97543	0.9758903144	1.0000000000	CM	0.5337392233
EIF2C3	0.1834566803	6	-1.97693	0.9759752284	0.9958284491	LUSC	0.3669133607
MLL	0.2449930197	17	-2.01829	0.9782194662	1.0000000000	HNSC	0.4899860394
HLA-A	0.1778015638	6	-2.03001	0.9788222386	0.9958284491	LUSC	0.3556031276
ZNF638	0.265074236	8	-2.03816	0.9792330328	1.0000000000	CM	0.530148472
PABPC1	0.2948869323	7	-2.04963	0.9797997247	0.9797997247	HC	0.5897738645
EIF1AX	0.301220203	6	-2.11443	0.9827607212	0.9990740513	UCEC	0.6024404061
AHNAK	0.1101289867	8	-2.13587	0.9836549943	0.9999946564	PRAD	0.2202579734
DDX5	0.2053908581	4	-2.1783	0.9853081454	0.9853081454	OV	0.4107817161
MLL	0.0849933041	5	-2.20342	0.9862174201	0.9998686602	LGG	0.1699866083
NOTCH1	0.1540216154	14	-2.20887	0.9864081578	0.9998686602	LGG	0.3080432307
FLT3	0.3718272925	16	-2.24647	0.9876630405	1.0000000000	LAML	0.7436545849
SOS2	0.1929157318	4	-2.25382	0.987896253	0.9971904661	STAD	0.3858314636
ITGA9	0.2283969079	5	-2.25947	0.9880729178	1.0000000000	CM	0.4567938157
LRP6	0.1503126291	5	-2.27618	0.9885823808	0.9998061957	GBM	0.3006252582
MAP4K3	0.1432430462	5	-2.29602	0.9891626311	0.9998061957	GBM	0.2864860925
RBM5	0.2703136137	4	-2.32642	0.9900019222	0.9990740513	UCEC	0.5406272273
RPL5	0.2316925705	24	-2.34526	0.9904930923	0.9998061957	GBM	0.463385141
PTPRU	0.1873029639	4	-2.34948	0.990600173	0.9971904661	STAD	0.3746059279
NF1	0.1924241117	7	-2.36968	0.9910982567	1.0000000000	HNSC	0.3848482234
ELF3	0.2116598589	12	-2.37576	0.9912435753	1.0000000000	BLCA	0.4233197178
NRAS	0.3158344046	12	-2.40173	0.9918411263	0.9990740513	UCEC	0.6316688092
ACTB	0.1457108604	4	-2.41272	0.9920830108	1.0000000000	BLCA	0.2914217208
DDX3X	0.2059010182	4	-2.41345	0.9920988521	0.9997132743	BRCA	0.4118020365
VIM	0.2080601329	4	-2.44679	0.9927932604	1.0000000000	CM	0.4161202657
EGFR	0.2052173711	4	-2.4909	0.9936290011	0.9997132743	BRCA	0.4104347421
NFE2L2	0.2193389348	14	-2.50885	0.9939437547	1.0000000000	HNSC	0.4386778697
ACTG1	0.1428571429	4	-2.51006	0.9939644675	1.0000000000	HNSC	0.2857142857
HSPA8	0.0951976201	4	-2.55859	0.9947451194	0.9999835770	LUAD	0.1903952401
TRERF1	0.2518404283	9	-2.57163	0.9949389497	1.0000000000	CM	0.5036808566
APC	0.1372710986	4	-2.61996	0.9956029959	1.0000000000	BLCA	0.2745421972
MED17	0.2054285719	17	-2.63786	0.9958284491	0.9958284491	LUSC	0.4108571438
MLL3	0.2730622593	18	-2.76713	0.99717239	1.0000000000	CM	0.5461245185
HDAC3	0.2040590689	8	-2.76922	0.9971904661	0.9971904661	STAD	0.4081181377
ATRX	0.2557011025	11	-2.78177	0.997296833	1.0000000000	CM	0.511402205
EIF4G1	0.2568093992	14	-2.91412	0.9982165362	1.0000000000	CM	0.5136187983
BPTF	0.2459497045	11	-2.94666	0.9983938691	1.0000000000	CM	0.4918994091
